1,Q1. I am a:,"Q2. The EPTA buses (Ram Force One or Ram Express) help students travel across campus and in some cases, from Martinsburg to Shepherdstown.How often do you ride the EPTA buses?",Q3_1:To get to class,Q3_2:To get to the Rams Den for food,Q3_3:To get to group meetings,Q3_4:To go to the Wellness Center,Q3_5:Due to an injury,Q3_6:For an Accessibility reason,Q3_7:To avoid issues finding parking,Q3_8:For personal safety,Q3_9:Other - Explain:,Q3_9OT,Q4_1:Didn't know we had shuttles,Q4_2:Didn't know they were free (thought I would have to pay),Q4_3:Prefer walking,Q4_4:Don't have trouble finding parking on East Campus,Q4_5:Other - Explain:,Q4_5OT,Q5_1:To get to class,Q5_2:To get to the Rams Den for food,Q5_3:To get to group meetings,Q5_4:To go to the Wellness Center,Q5_5:Due to an injury,Q5_6:For an Accessibility reason,Q5_7:To avoid issues finding parking,Q5_8:For personal safety,Q5_9:Other - Explain:,Q5_9OT,Q6. How important is it to have a circulating bus on campus to assist students in navigating from one side of campus or from parking lots to campus buildings?,Q7_1:7:30 am - 12 pm,Q7_2:12 pm - 4 pm,Q7_3:4 pm - 7 pm,Q7_4:7 pm - 9 pm,Q7_5:Not important to me,"Q8. If budget shortfalls force a reduction of EPTA shuttle services, would you support a small fee to support these services?",Q9. Indicate your level of agreement with the following statements. - There are sufficient shuttle stops and routes to take me where I need to go on campus.,Q10. Indicate your level of agreement with the following statements. - It is difficult to find parking and the shuttle buses help alleviate parking issues.,Q11. Indicate your level of agreement with the following statements. - I know how to find/access the shuttle route schedule and information.,Q12. Indicate your level of agreement with the following statements. - The current EPTA bus services meet my satisfaction.,"Q13. Please share any additional information you would like us to consider when determining if this service should be continued, altered, or eliminated. (maximum 250 characters)",Q13_1OT,"Q14. If you are willing to participate in a focus group regarding the EPTA services, please include your Shepherd email here."
2,2,1,1,2,,4,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,THE bus service is great and it helps me get around campus. BOTH express and ram force one are a big help. For safety and getting me to class and rams den on time ,
3,1,2,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,1,2,1,1,1,,,
4,2,1,1,2,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,5,,2,1,1,1,1,1,"Many students don’t have cars and rely on buses, especially those with injuries or disabilities. With one dining hall across campus, buses are essential. Removing them would worsen parking and food access, hurting students.",
5,2,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
6,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,2,1,This service should continue. I had a night class and needed to ride the bus because as a woman at night I didn not feel comfortable walking in the dark.,
7,1,1,1,,,4,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,1,1,1,1,Removing this service would be DETRIMENTAL for accessibility concerns & residents because the campus has failed to add a residential parking lot to east side of campus.,
8,2,2,1,2,,4,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,1,When it is cold EPTA help me stay warm by allowing me to get from one side to the other of campus,
9,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,i have never needed to,,,,,,,,,9,n/a,3,,,,,4,1,,,,,,,
10,2,1,1,2,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,2,2,2,,,
11,2,3,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
12,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,1,1,1,,,
13,2,1,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
14,1,4,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,2,2,,,
15,2,1,1,2,3,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,2,1,2,1,Continue please ,1
16,2,3,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,1,1,1,,,
17,2,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,1,2,2,,,
18,1,5,,,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,,,4,2,2,2,2,2,,,
19,1,1,1,,,,,,,,9,this school does not have enough parking for you to even consider taking away the buses. this survey is ridiculous.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,2,1,2,3,1,"it’s absolutely ridiculous you would even scare your already struggling students, both commuter and residential knowing how poorly our parking situation is. ",
20,1,1,1,2,,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,2,,,1
21,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,2,2,2,2,,,
22,2,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
23,2,3,1,2,,,,,,,9,A lot when it is cold outside.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,2,1,1,1,1,Please continue this program it is so important for many students and is an amazing way of making the campus accessible.,
24,2,3,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,2,1,1,,,
25,1,1,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,3,1,1,2,1,"There are many students on this campus, myself included, who rely on the EPTA for transportation. Whether it be for accessibility purposes or other ailments, or just the convenience of it, the EPTA is a necessary service at Shepherd University.",
26,2,1,1,,,,5,6,7,8,9,Extreme weather & I have a chronic condition,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,5,,1,1,1,1,1,1,It is absurd to eliminate a service that provides care to students with disabilities.  ,
27,2,3,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,2,2,,,
28,2,3,1,,,,5,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,1,3,1,1,3,1,The buses are almost never on time or will leave before their scheduled time. It is also at awkward intervals that make leaving classes more difficult.,
29,2,4,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,,3,5,,1,1,4,1,1,,,
30,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
31,1,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,,,,2,1,1,1,1,,,
32,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,5,,,,,,3,,,,,4,2,2,3,3,,,,
33,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,1,2,1,1,,,
34,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,2,2,1,2,,,
35,1,2,1,,,,,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,2,1,1,2,1,"Shuttles are particularly useful during bitter cold as they are heated, providing a more comfortable alternative to walking",
36,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,5,,7,,,,4,,,,,4,2,1,4,2,3,,,
37,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,Would rather drive and have more parking ,,,,,,,,,9,Honestly I probably won’t unless I’m with a group or at a school event or something and they are the transportation,4,,,,,4,2,2,4,3,2,,,
38,2,1,1,2,,,,6,,8,9,"To not be in the weather like cold, rain, snow, etc.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,2,1,1,1,I need the EPTA because I have knee problems and trying to walk around campus doesn't work for me.,1
39,2,1,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,N/a,
40,2,3,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,3,,,1,2,2,2,2,,,
41,2,2,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,"EPTA is one of my favorite thing about SU. It makes navigating campus so much easier for students, especially the not insignificant number with disabilities (visible or invisible), and is a crucial part of Shepherd's parking strategy",1
42,2,1,1,,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,,2,,,,2,1,2,1,1,,,
43,1,3,1,,,,5,6,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,You should open up employee parking if you’re going to discontinue and make accessible parking closer to the buildings.,
44,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,2,1,"If there was a place for residents to park on the opposite side of campus, I think that the epta would be unnecessary. But since there isn't, it is necessary because of injuries, weather, and the need to carry multiple things to class. ",
45,2,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
46,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,,,,,,6,,,,,4,,,,,4,2,2,3,2,3,,,
47,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
48,1,1,1,,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,1,1,1,1,1,1,When I go to class on the East side of campus it's extremely hard to get a parking spot and have to circle around a lot until a class lets out so I can park. With EPTA it greatly relieves stress so I have an easy time getting to class,
49,2,1,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,1,1,1,1,,,
50,1,2,1,,,,,6,,8,9,"I am a ticketing officer, it is easier to get to different parking areas by taking the bus ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,It is very important for the many students who use it on a daily. Especially during extreme weather conditions. ,1
51,1,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,,,,,2,2,2,2,2,,,
52,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
53,2,1,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,2,2,1,1,1,The only issue i have is some of the drivers of the ram express bus dont wait long enough for students to arrive to the bus,
54,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,1,1,1,,,
55,2,5,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,2,,,
56,1,1,1,2,3,4,5,6,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,I am a commuter who had a car accident when roads were icy and I was on the way to campus. The EPTA shuttle has allowed me to continue to attend Shepherd despite losing my car. It is extremely important to me.,1
57,2,1,1,2,3,4,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,It the cold weather I don't want to walk to class. For residents there is NO parking AT ALL if you get rid of the bus that's stupid. If you do get a parking lot that the we can park at. ,
58,2,3,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,1,2,,,,2,2,,2,2,,,
59,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,1,,,,,,7,,,,2,1,2,,,,2,2,3,2,2,1,"It should be continued, because I see lots of people use them",
60,2,2,1,2,,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,"Busses should run on weekends, especially in winter time when the rams den is open and it's 6⁰ outside. ",1
61,2,1,1,2,3,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,2,1,1,,,
62,1,6,--,--,--,--,--,--,--,--,--,--,,,3,,5,i get tremendously carsick if i am not the one driving,,,,,,,,,9,i would not,4,,,,,4,2,1,2,1,1,1,nothing comes to mind,
63,2,5,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,1,,,,,2,2,3,3,2,,,
64,2,5,1,2,3,,,,7,,9,Avoid the cold in winter ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,2,1,1,1,1,,,
65,2,1,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
66,2,2,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,,,5,,2,1,1,1,1,,,
67,1,2,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,1,,,,,2,1,2,1,1,,,
68,2,1,1,2,,,,,,8,9,ITS COLD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,5,,1,1,2,2,1,1,I believe the most important time for EPTA is during the winter months and the height of the summer. I also believe it’s more important for resident students to get across campus more efficiently and the commuters who park in H Lot. ,1
69,2,3,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,2,1,2,1,1,,,
70,2,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,5,,1,1,1,1,1,,,
71,2,1,1,,,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,2,1,2,1,"I do not have a car on campus. I live in the apartments, which are a 15-17 minute walk to my classes. Without the bus it would be very difficult to get to classes.",
72,2,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,2,1,2,,,
73,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,,,,,,,,,,,9,I don't think I would ever use it,4,,,,,4,2,2,3,4,2,1,"The campus is very small and, as far as I can tell, adequately handicap accessible. The shuttle really just seems like a waste of resources.",
74,2,3,1,,,,5,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,1,1,2,1,n/a,
75,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,,,,,,,7,,,,4,,,,,4,2,2,2,3,2,1,N/A,
76,2,1,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,,,5,,2,2,2,2,2,,,
77,2,1,1,2,,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,1,1,1,1,1,1,As a student who has pots the epta makes it easier for me to get from one side to another without worry of an episode as walking is very hard and can be dangerous for my condition ,
78,1,6,--,--,--,--,--,--,--,--,--,--,,,3,4,5,Not always conducive to my schedule when parking on West Campus.,1,,,,5,,,,,,,--,--,--,--,--,,,,,,,,
79,2,1,1,2,3,4,5,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,1,You have to increase parking spots if you eliminate EPTA,1
80,1,6,--,--,--,--,--,--,--,--,--,--,,2,,,,,1,,,,,,,,,,2,1,,,,,1,2,1,2,1,,,
81,1,6,--,--,--,--,--,--,--,--,--,--,,2,,,,,1,,,,,6,7,,,,3,,,,,4,2,2,1,3,2,,,
82,1,6,--,--,--,--,--,--,--,--,--,--,,,,4,,,1,2,,,5,,,,,,3,,,,,4,2,1,2,1,1,,,
83,2,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
84,1,5,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
85,2,1,1,2,3,4,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,1,1,1,1,,,
86,2,1,1,2,3,4,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,,,
87,2,1,1,2,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,1,1,I don’t think it’s fair to charge a fee for the EPTA when residents are already paying for a parking pass that can’t even be used on most parts of campus. ,
88,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,Students should not have to pay the bus fee on top of the $70 parking pass fee (which does not even work for the residents on most areas of campus),
89,2,1,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,2,2,1,2,1,There should not be an extra fee for etpa because we already pay $70 for a parking pass that I can’t even use on most of campus.,
90,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,I have a car,,,,,,,,,9,To bring more students to Tabler Farm,1,,2,,,,2,3,3,3,2,1,People wont use tabler farm if they cannot walk or commute. ,
91,2,2,1,2,3,,,6,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,3,,,1,1,1,1,1,1,The shuttle is an important accessibility feature for many students and to see it taken way would be alienating to the students who rely on it.,
92,1,6,--,--,--,--,--,--,--,--,--,--,,,,,5,do not want to have to wait for them,,2,,,5,6,7,8,,,4,1,,,5,,2,4,4,4,4,,,
93,1,5,1,,,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,1,1,1,2,,,
94,1,3,1,,3,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,1,2,1,3,2,,,
95,2,2,1,2,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,,,,1,1,1,1,1,,,
96,2,1,1,2,3,,,,7,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,1,1,1,1,1,1,Literally hundreds of students use the buses everyday. There should be no question whether they are important. ,
97,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,,,
98,2,2,1,2,,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,,2,,5,,1,1,1,1,1,,,
99,3,1,1,2,3,4,,,7,8,9,bad weather,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,5,,2,3,3,1,2,1,i think that $90 per student per year is nothing in comparison to 30 million on athletics building improvements. services and education should be prioritized before sports.,1
100,2,1,1,2,3,,,,7,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,2,1,1,1,1,1,"This transportation is extremely nice especially when it's cold out, raining, or extremely hot. I think this also helps with residents not parking in commuter lots because they can take the bus. ",
101,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
102,2,2,1,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,1,2,,,,1,2,2,1,1,,,
103,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,--,--,--,,,,,,,,
104,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,,,,,,,,,9,,,--,--,--,--,--,,,,,,,,
105,2,6,--,--,--,--,--,--,--,--,--,--,,,3,,,,1,2,3,4,5,6,7,,,,1,1,2,3,5,,2,2,2,2,2,,,
106,1,5,1,,,4,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,,,,,4,2,2,,2,2,,,
107,2,2,1,2,3,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,3,,,2,1,1,1,2,,,
108,2,3,1,2,,,,6,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,2,,,,1,1,1,1,1,,,
109,2,1,1,2,3,,,,,8,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,,3,,,2,1,1,1,1,,,
